store_key,storename,address,telno,region_name,province_name,city_muni_name,latitude,longitude
 2,BF Homes,"Pres. Avenue cor. Aguirre St., BF Homes, Paranaque",8425445,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4486,121.03
 3,Libertad,Libertad St. cor. Harrison St. Pasay City,7998456,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.5462,120.994
 4,Naghatan,"Nagtahan cor. J.P.  Laurel, Sta. Mesa Mla.",7150963,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SAMPALOC,14.6004,120.999
 7,Quiapo,Beside Quiapo Church Quezon Blvd. Manila,7336051,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",QUIAPO,14.599,120.984
 8,Faura,Adriatico St. cor. P. Faura Ermita Manila,5257595,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",ERMITA,14.5776,120.982
 10,Munoz,"Roosevelt Ave. Nr. Cor. EDSA, Quezon City",3737577,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6571,121.019
 12,Roces,"A. Roces Cor. Quezon Ave., Quezon City",2638473,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6332,121.02
 17,Buendia,Buendia Ave. Nr Cor Taft Ave. Pasay City,5512408,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.554,120.998
 20,Boni,"Boni Ave. Cor. EDSA, Mandaluyong City",5313156,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5728,121.047
 22,Retiro,"Retiro St. Cor. Dimasalang St., Sampaloc Mla.",7426480,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SAMPALOC,14.6241,120.989
 24,Paco 1,Pedro Gil St. Cor. Paz St. Paco Manila,5638811,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PACO,14.5786,120.995
 30,Burgos,"Libertad St. Cor.  Burgos St., Pasay City",8332508,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.5481,121.001
 31,Barangka,"Boni Ave. Cor. Barranca Drive, Mandaluyong City",6544297,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5757,121.041
 32,Maypajo,"J.P. Rizal Cor. Mabini St. Maypajo, Caloocan City",2889890,NCR - National Capital Region,"NCR, THIRD DISTRICT",CALOOCAN CITY,14.6379,120.976
 33,Dapitan,"Maceda St. Cor. Dapitan St., Sampaloc Mla.",7126042,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SAMPALOC,14.6177,120.995
 35,Pasig Church,"Caruncho Ave. Cor. Sixto Antonio St., Pasig City",6412137,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.561,121.077
 37,Novaliches 1,"Gen. Luis St. Cor. Austria St., Nova. Q.C.",9373516,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.7219,121.039
 39,MCU,EDSA Cor. Asucion St. Caloocan City,3636279,NCR - National Capital Region,"NCR, THIRD DISTRICT",CALOOCAN CITY,14.6574,120.988
 43,Malibay,"EDSA Cor. C. Jose St., Malibay Pasay City",8537299,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.5385,121.011
 44,Bacoor,Talaba Rd. Cor. Aguinaldo H-Way Bacoor Cavite,9703946,REGION IV-A (CALABARZON),CAVITE,BACOOR,14.462,120.963
 45,Gagalangin,"Juan Luna Cor. Pampanga St. Gagalangin, Mla.",2538025,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",TONDO I / II,14.629,120.974
 46,Pandacan,"Jesus Cor. Laborers  St., Pandacan Manila",5641954,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PANDACAN,14.5927,121.004
 47,Singalong,Singalong St. Cor. San Andres St. Manila,5369004,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PACO,14.5715,120.995
 54,Muntinlupa 1,"Rizal Ave., Nr Cor. National H-Way Muntinlupa",8611725,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MUNTINLUPA,14.3891,121.045
